date,pic_corr,roll_corr,gap,pic_cov,roll_cov,gap_cov,cos,real_corr,err,err_cov,pair21,pv63,jm21,crowded,q
1993-02-18,0.751494,0.498586,0.252908,6.8103e-06,4.74734e-06,2.06296e-06,0.885449,0.701794,0.203208,3.5108e-06,-0.00950604,0.0429677,0,1,3
1993-02-19,0.750459,0.507265,0.243195,6.8231e-06,4.8295e-06,1.9936e-06,0.885449,0.701148,0.193883,3.42635e-06,-0.0167687,0.0435234,0,1,3
1993-02-23,0.748957,0.504448,0.244509,6.75703e-06,4.77882e-06,1.97821e-06,0.885449,0.704036,0.199589,3.46282e-06,-0.0147828,0.0430354,0,1,3
1993-02-24,0.74715,0.495747,0.251402,6.72208e-06,4.62111e-06,2.10097e-06,0.885449,0.701129,0.205381,3.56072e-06,-0.0180717,0.0432486,0,1,3
1993-02-25,0.746466,0.495728,0.250739,6.70881e-06,4.62366e-06,2.08515e-06,0.885449,0.708414,0.212686,3.97646e-06,-0.0147748,0.0432107,0,1,3
1993-02-26,0.8651,0.498465,0.366635,7.7412e-06,4.62411e-06,3.11709e-06,0.880799,0.886511,0.388047,6.49557e-06,-0.014372,0.0432734,0,1,4
1993-03-02,0.864675,0.500462,0.364213,7.70736e-06,4.62082e-06,3.08654e-06,0.880799,0.887281,0.386819,6.52933e-06,-0.0118568,0.043259,0,1,4
1993-03-03,0.864006,0.498626,0.36538,7.7127e-06,4.57729e-06,3.13541e-06,0.880799,0.885491,0.386865,6.67734e-06,-0.0106727,0.0433125,0,1,4
1993-03-04,0.864095,0.501458,0.362637,7.71116e-06,4.59294e-06,3.11822e-06,0.880799,0.891004,0.389546,7.30907e-06,-0.00980657,0.0444134,0,1,4
1993-03-05,0.863065,0.501189,0.361875,7.64595e-06,4.58863e-06,3.05732e-06,0.880799,0.91748,0.416291,1.05408e-05,-0.00624196,0.0446876,0,1,4
1993-03-09,0.859925,0.497999,0.361926,7.60018e-06,4.5449e-06,3.05528e-06,0.880799,0.916119,0.41812,1.03758e-05,-0.00402711,0.0443142,0,1,4
1993-03-10,0.859704,0.495553,0.364151,7.59842e-06,4.49441e-06,3.10401e-06,0.880799,0.915885,0.420332,1.03769e-05,-0.00504487,0.0443186,0,1,4
1993-03-11,0.860281,0.495056,0.365226,7.58403e-06,4.48442e-06,3.09961e-06,0.880799,0.918565,0.423509,1.0926e-05,-0.00102712,0.0449625,0,1,4
1993-03-12,0.86081,0.49426,0.36655,7.5559e-06,4.45182e-06,3.10409e-06,0.880799,0.920972,0.426712,1.10914e-05,0.00198626,0.0447207,0,1,4
1993-03-16,0.859908,0.505803,0.354105,7.53518e-06,4.52077e-06,3.0144e-06,0.880799,0.920323,0.41452,1.09274e-05,-0.00758826,0.0446139,0,1,4
1993-03-17,0.859552,0.504283,0.35527,7.50185e-06,4.49234e-06,3.00951e-06,0.880799,0.920048,0.415765,1.09496e-05,-0.00597372,0.0449451,0,1,4
1993-03-18,0.858589,0.497527,0.361062,7.43421e-06,4.37398e-06,3.06023e-06,0.880799,0.92819,0.430663,1.11396e-05,-0.00372991,0.0449261,0,1,4
