ticker,name_type,phi_63,phibar_63,status_book,n_advisers,crds,adviser_names,text_paths,coverage
IEHS,equity_longonly,0.987,0.9921,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
IEIH,equity_longonly,0.9812,0.9879,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
IGTR,allocation_fof,0.2638,0.5521,,3,159042;141726;287718,"Penserra Capital Management LLC | Gradient Investmens LLC | Innovator Capital Management, LLC",adv_data/brochures/159042/text.txt;adv_data/brochures/141726/text.txt;adv_data/brochures/287718/text.txt,on_disk
INTL,allocation_fof,0.8714,0.9357,,1,288558,"Main Management ETF Advisors, LLC",,bulk_needed
IPO,equity_longonly,0.8053,0.8976,index,1,109945,Renaissance Capital LLC,adv_data/brochures/109945/text.txt,on_disk
IQM,equity_longonly,0.9602,0.9799,index,1,104517,"Franklin Advisers, Inc.",adv_data/brochures/104517/text.txt,on_disk
IRTR,allocation_fof,0.9981,0.9989,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDB,allocation_fof,0.9959,0.9979,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDC,allocation_fof,0.9985,0.9992,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDD,allocation_fof,0.9991,0.9995,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDE,allocation_fof,0.9993,0.9996,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDF,allocation_fof,0.9993,0.9996,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDG,allocation_fof,0.9994,0.9997,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDH,allocation_fof,0.9995,0.9997,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
ITDI,allocation_fof,0.9995,0.9997,,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
IVOL,commodity_futures,1.0,1.0,active,2,157103;172768,"Krane Funds Advisors, LLC | Quadratic Capital Management LLC",adv_data/brochures/157103/text.txt,on_disk
JFWD,equity_longonly,0.9109,0.9527,,1,112006,Jacob Asset Management of New York LLC,,bulk_needed
JIG,equity_longonly,0.9299,0.9582,unknown,1,107038,J.P. Morgan Investment Management Inc.,adv_data/brochures/107038/text.txt,on_disk
JOET,equity_longonly,0.7257,0.8592,index,2,168955;106982,"Virtus ETF Advisers LLC | Virtus Investment Advisers, LLC",adv_data/brochures/106982/text.txt,on_disk
JSMD,equity_longonly,0.7141,0.8515,index,1,104652,Janus Henderson Investors US LLC,adv_data/brochures/104652/text.txt,on_disk
